Condition,Replication,Parameter,ESS,RHAT
Study1_Tb3_N500,22,Level2Sigma[2],1872,1.0016
Study1_Tb3_N500,22,Level2Sigma[3],2136,1.0005
Study1_Tb3_N500,22,Level2Sigma[4],14879,1.0002
Study1_Tb3_N500,22,Level2Sigma[5],132,1.0011
Study1_Tb3_N500,22,Level2Sigma[6],197,1.0007
Study1_Tb3_N500,22,Level2Sigma[7],136,1.0169
Study1_Tb3_N500,22,Level2Sigma[8],202,1.0023
Study1_Tb3_N500,22,"sigma_innovation[1,1]",207,1.0005
Study1_Tb3_N500,22,"sigma_innovation[2,1]",577,1.0011
Study1_Tb3_N500,22,"sigma_innovation[1,2]",577,1.0011
Study1_Tb3_N500,22,"sigma_innovation[2,2]",375,1.0076
Study1_Tb3_N500,23,Level2Mean[1],21430,1
Study1_Tb3_N500,23,Level2Mean[2],20376,1
Study1_Tb3_N500,23,Level2Mean[3],28388,1
Study1_Tb3_N500,23,Level2Mean[4],32857,1
Study1_Tb3_N500,23,Level2Mean[5],133,1.0009
Study1_Tb3_N500,23,Level2Mean[6],100,1.0079
Study1_Tb3_N500,23,Level2Mean[7],167,1
Study1_Tb3_N500,23,Level2Mean[8],271,1.0055
Study1_Tb3_N500,23,Level2Sigma[1],1529,1.0001
Study1_Tb3_N500,23,Level2Sigma[2],780,1.0004
Study1_Tb3_N500,23,Level2Sigma[3],3325,1
